restitution_center,month,year,resident_pop_month_start,resident_pop_month_end,resident_capacity
HINDS RESTITUTION CENTER,June,2019,76,71,78
PASCAGOULA RESTITUTION CENTER,June,2019,62,67,76
FLOWOOD RESTITUTION CENTER,July,2019,30,32,64
GREENWOOD RESTITUTION CENTER,July,2019,55,54,76
HINDS RESTITUTION CENTER,July,2019,71,74,78
PASCAGOULA RESTITUTION CENTER,July,2019,67,67,76
FLOWOOD RESTITUTION CENTER,August,2019,32,33,64
GREENWOOD RESTITUTION CENTER,August,2019,54,45,76
HINDS RESTITUTION CENTER,August,2019,74,70,78
PASCAGOULA RESTITUTION CENTER,August,2019,67,69,76
